NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
520;HUKUM PERJANJIAN;Prof. SUBEKTI, S.H.;PT. INTERMASA;Jakarta;2002;979-8114-32-9;;;19;viii, 108;3F;;21;346.02;SUB;B;;ADA;;;;;;;;
521;HUKUM PERJANJIAN ISLAM DI INDONESIA (KONSEP, REGULASI DAN IMPLEMENTASI);ABDUL GHOFUR ANSHORI;GADJAH MADA UNIVERSITY PRESS;Jakarta;2010;979-420-715-2;;;1.-;230;1E;;21;340.59;ANS;S;;ADA;;n;;;;;;
522;HUKUM PERJANJIAN KERJA;WIWOHO SOEDJONO, S.H.;PT. BINA AKSARA;Jakarta;1983;;;1.,;1.-;88;3F;;20,5;344;SOE;;;ADA;;;;;;;;
523;HUKUM PERJANJIAN KREDIT BANK;H.M. HAZNIEL HARUN, S.H.;YAYASAN TRITURA '66;Jakarta;1991;;;;2.-;86;3F;;20;346.07;HAR;S;;ADA;;;;;;;;
524;HUKUM PERJANJIAN // TEORI DAN ANALISA KASUS;SUHARNOKO, S.H. , MLI.;Kencana;Jakarta;2012;979-3456-53-0;;1.,;7.-;xii, 168;3F;;20,5;346.02;SUH;S;;ADA;;;;;;;;
525;HUKUM PERKAWINAN ADAT // DENGAN ADAT ISTIADAT DAN UPACARA ADATNYA;Prof. H. HILMAN HADIKUSUMA, S.H.;PT. Citra Aditya Bakti;Bandung;2003;;;;;;6C;;;346.1;HAD;;;;;;;;;;;
526;HUKUM PERKAWINAN, HUKUM KEWARISAN, HUKUM ACARA PERADILAN AGAMA DAN ZAKAT MENURUT HUKUM ISLAM;MOHD. IDRIS RAMULYO, S.H., M.H.;Sinar Grafika;Jakarta;2004;;;;;;7A;;;;;;;;;;;;;;;
527;HUKUM PERKAWINAN ISLAM;AHMAD AZHAR BASYIR, M.A.;BAGIAN PENERBITAN FH-UII;Yogyakarta;1985;;;;;;7A;;;;;;;;;;;;;;;
528;HUKUM PERKREDITAN KONTEMPORER;MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2002;979-414-747-8;;;2.-;416;1B;2;21;332.7;FUA;B;;ADA;;n;;;;;;
529;HUKUM PERLINDUNGAN KONSUMEN;"AHMADI MIRU ; SUTARMAN YODO";PT. Rajagrafindo Persada;Jakarta;2004;;;;;;5C;;;;;;;;;;;;;;;
530;HUKUM PERS;Prof. Dr. H. SAMSUL WAHIDIN, S.H., M.S.;PUSTAKA PELAJAR;Yogyakarta;2006;;;;;;6A;;;345.5;;;;;;;;;;;;
531;HUKUM PERSAINGAN USAHA;ARIE SISWANTO;GHALIA INDONESIA;Jakarta;2004;979-450-449-1;;;;;6E;;;684;;;;;;;;;;;;
;Hukum Perselisihan [ Conflictenrecht ];Prof. Dr. H. Eman Suparman, S.H., M.H.;Kencana;Jakarta;2018;978-602-422-688-6;;;1.-;;5B;;;340,9;SUP;S;;ada;;;;;;;;
532;HUKUM PERTAMBANGAN;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2012;978-979-007-395-1;;;2.-;363;1G;;23;345;SUT;S;;ADA;y;;;;;;;
533;HUKUM PERTAMBANGAN // MINERAL & BATUBARA;Dr. H. SALIM HS., S.H., M.S.;Sinar Grafika;Jakarta;2012;;;;1.-;;1G;;;;;;;;;;;;;;;
534;HUKUM PERTANAHAN INDONESIA;I WAYAN SUANDRA, S.H.;PT. Rineka Cipta;Jakarta;1994;979-518-066-5;;;2.-;v, 383;3E;;20,5;346.43;SUA;S;;ADA;;;;;;;;
535;HUKUM PERUSAHAAN DALAM PARADIGMA HUKUM BISNIS (BERDASARKAN UNDANG-UNDANG NOMOR 40 TAHUN 2007);Dr. MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2008;979-414-808-3;;;3.-;xvi, 364;3E;;21;343.9;FUA;;;ADA;;;;;;;;
536;HUKUM PERUSAHAAN INDONESIA;Prof. ABDULKADIR MUHAMMAD, S.H.;PT. Citra Aditya Bakti;Bandung;2006;979-414-798-2;;rev.,;3.-;xii, 622;3E;;20,5;346.43;MUH;;;ADA;;;;;;;;
537;HUKUM PERUSAHAAN INDONESIA;Prof. ABDULKADIR MUHAMMAD, S.H.;PT. Citra Aditya Bakti;Bandung;2010;978-979-414-798-6;;rev.,;4.-;xvi, 654;3E;2;20,5;343.08;MUH;;;ADA;;;;;;;;
538;HUKUM PERUSAHAAN TENTANG PERSEROAN TERBATAS;Dr. SENTOSA SEMBIRING, S.H., M.H.;CV. NUANSA AULIA;Bandung;2007;979-3944-84-6;;;2.-;176;3E;;19,5;346.065;SEM;S;;ADA;;;;;;;;
539;Hukum Pidana;Prof. Dr. A. ZAINAL ABIDIN FARID, S.H.;Sinar Grafika;Jakarta;1995;979-8061-78-0;1;;1.-;448;2A;;20,5;345;FAR;B;;ADA;y;;;;;;;
540;Hukum Pidana;Prof. Dr. Mr. H.A. ZAINAL ABIDIN FARID, S.H.;Sinar Grafika;Jakarta;2010;979-8061-78-0;1;;3.-;xiv, 448;2A;;21;345;FAR;S;;ADA;;n;;;;;;
541;Hukum Pidana;Prof. Dr. TEGUH PRASETYO, S.H., M.Si.;RAJAWALI PERS;Jakarta;2010;978-979-769-295-7;;1.,;1.-;xiv, 194;2C;;21;345;PRA;;;ada;;n;;;;;;
542;Hukum Pidana;Mr. Drs. E. Utrecht;Balai Lektur Mahasiswa;Bandung;1958;;1;;;;5B;2;;345;;;;ada;;;;;;;;
543;Hukum Pidana;Mr. Drs. E. Utrecht;Balai Lektur Mahasiswa;Bandung;1958;;2;;;;5B;2;;345;;;;ada;;;;;;;;
544;Hukum Pidana;Prof. Satochid Kartanegara, S.H.;Balai Lektur Mahasiswa;Bandung;1958;;1;;;;5B;2;;345;;;;ada;;;;;;;;
545;Hukum Pidana;Prof. Satochid Kartanegara, S.H.;Balai Lektur Mahasiswa;Bandung;1958;;2;;;;5B;2;;345;;;;ada;;;;;;;;
546;HUKUM PIDANA 2//HUKUM PENITENTIER;Mr. J.M. VAN BEMMELEN;BINACIPTA;Bandung;1991;;;;2.-;ix, 177;2E;2;24;345;BEM;;;ada;;n;;;;;;
547;HUKUM PIDANA ADAT DALAM KAITANNYA DENGAN PENUNTUTAN PIDANA;ALBOIN PANGARIBUAN, S.H. - B.D. SRIMARSITA, S.H. & Drs. ILHAM GUNAWAN;PUSLITBANG KEJAGUNG R.I.;Jakarta;1999;979-9272-01-7;;;;122;2A;;21;345;PAN;S;;ada;;n;;;;;;
548;HUKUM PIDANA ANAK;Dr. WAGIATI SOETODJO, S.H., M.S.;PT. REFIKA ADITAMA;Bandung;2006;;;;;;6E;;;;;;;ada;;;;;;;;
549;HUKUM PIDANA DI INDONESIA (UNTUK FAKULTAS SYARIAH KOMPONEN MKK);PIPIN SYARIFIN, S.H.;CV. PUSTAKA SETIA;Bandung;2000;;;;1.-;499;2A;;21;345;SYA;;;ADA;;n;;;;;;
550;HUKUM PIDANA EKONOMI;EDI SETIADI, RENA YULIA;GRAHA ILMU;Yogyakarta;2010;978-979-756-585-5;;1.,;1.-;208;2A;;23;340;SET;S;;ADA;;n;;;;;;
551;HUKUM PIDANA INDONESIA (SUATU PENGANTAR);ERDIANTO EFFENDI,S.H., M.Hum.;PT.REFIKA ADITAMA;Bandung;2011;978-602-8650-40-3;;;1.-;249;2D;;24;345;EFF;;;ADA;;n;;;;;;
552;HUKUM PIDANA INTERNASIONAL DAN EKSTRADISI;I WAYAN PARTHIANA;CV. YRAMA WIDYA;Bandung;2003;979-543-097-1;;;1.-;404;1F;;24;341.77;PAR;S;;ADA;;n;;;;;;
553;HUKUM PIDANA INTERNASIONAL (EKSTRADISI);Prof.Dr.SUMARYO SURYOKUSUMO,SH,LL.M;PT. TATANUSA;Jakarta;2010;978-979-3999-58-6;;;1.-;253;1F;;21;341.1;SUR;;;ADA;;n;;;;;;
554;HUKUM PIDANA (KOMENTAR ATAS PASAL-PASAL TERPENTING DARI KUHP BELANDA DAN PADANANNYA DALAM KUHP INDONESIA);JAN REMMELINK;PT. Gramedia Pustaka Utama;Jakarta;2003;;;;;636;2A;;24;348;REM;;;ADA;;n;;;;;;
555;HUKUM PIDANA KORUPSI DI INDONESIA;MAHRUS ALI, S.H., M.H.;UII-PRESS;Yogyakarta;2011;979-3333-88-X;;;1.-;xiv, 206;2B;;23;345.001;ALI;S;;ADA;;n;;;;;;
;Hukum Pidana Korupsi Di Indonesia (Edisi Revisi);Adami Chazawi;Rajawali Pers;Jakarta;2016;978-979-769-930-7;;;;;2B;;;345.2;CHA;s;;ada;;;;;;;;
556;HUKUM PIDANA MATERIIL;TONGAT, S.H., M.Hum.;UMM PRESS;Malang;2003;979-3021-68-3;;1.,;2.-;110;2A;;21;345;TON;s;;ada;;n;;;;;;
;Hukum Pidana Militer Di Indonesia;E.Y. Kanter, S.H. & S.R. Sianturi, S.H.;Alumni AHM-PTHM;Jakarta;2012;;;;;;2F;;;343,01;KAN;s;;ada;;;;;;;;
557;Hukum Pidana Militer Di Indonesia;MOCH. FAISAL SALAM, S.H., M.H.;CV. MANDAR MAJU;Bandung;2006;979-538-285-3;;;1.-;ix, 397;2F;2;21;343.01;SAL;B/S;;ada;;n;;;;;;
558;HUKUM PIDANA PENGEMBANGAN;Prof. OEMAR SENO ADJI, S.H.;PENERBIT ERLANGGA;Jakarta;1985;;;;1.-;vii, 264;2C;;21;345;ADJ;;;ada;;n;;;;;;
559;HUKUM PIDANA UMUM DAN TERTULIS DI INDONESIA;FRANS MARAMIS, S.H., M.H.;RAJAWALI PERS;Jakarta;2012;978-979-769-439-5;;1.,;1.-;319;2A;;20,5;345;MAR;S;;ada;;n;;;;;;
560;HUKUM SEBAGAI PANGLIMA;CHARLES HIMAWAN; PENERBIT BUKU KOMPAS;Jakarta;2006;979-709-072-8;;;2.-;219;2A;;21;340.1;HIM;;;ada;;n;;;;;;
561;HUKUM TATA LINGKUNGAN;KOESNADI HARDJASOEMANTRI;GADJAH MADA UNIVERSITY PRESS;Yogyakarta;1990;979-420-168-5;;5.,;7.-;614;1G;2;22;304.2;HAR;S;;ada;;n;;;;;;
562;HUKUM TATA NEGARA;Prof. Dr. M. SOLLY LUBIS, S.H.;CV. MANDAR MAJU;Bandung;1992;979-538-030-3;;;5.-;xiv, 212;3G;;20,5;342;LUB;;;ada;;;*ATK;;;;;
563;HUKUM TATA NEGARA & HUKUM ADMINISTRASI NEGARA // DALAM PERSPEKTIF FIKIH SIYASAH;Prof. Dr. H. AHMAD SUKARDJA, S.H., M.H.;Sinar Grafika;Jakarta;2012;978-979-007-475-0;;;1.-;xxiv, 262;3G;;23;342;SUK;S;;ada;;;;;;;;
564;HUKUM TATA NEGARA DARURAT DI INDONESIA;Prof. Mr. HERMAN SIHOMBING;DJAMBATAN;Jakarta;1996;979-428-265-0;;;;viii, 184;3G;;21;342;SIH;;;ada;;;;;;;;
565;HUKUM TATA NEGARA INDONESIA;Dr. NI'MATUL HUDA, S.H., M.Hum.;RAJAWALI PERS;Jakarta;2010;979-769-012-1;;rev.,;5.-;xiv, 370;3G;;21;342;HUD;;;ADA;;;;;;;;
566;HUKUM TATA NEGARA INDONESIA;Dr. NI'MATUL HUDA, S.H., M.Hum.;RAJAWALI PERS;Jakarta;2012;978-979-769-012-1;;rev.,;6.-;xiv, 388;3G;;21;342;HUD;;;ADA;;;;;;;;
567;HUKUM TATA NEGARA, KEWARGANEGARAAN & HAK ASASI MANUSIA (MEMAHAMI PROSES KONSOLIDASI SISTEM DEMOKRASI DI INDONESIA);B. HESTU CIPTO HANDOYO, S.H., M.Hum.;UNIVERSITAS ATMA JAYA YOGYAKARTA;Yogyakarta;2003;979-9243-35-1;;1.,;1.-;xi, 332;3G;;23;342;HAN;B;;ADA;;;;;;;;
568;HUKUM TATA NEGARA REPUBLIK INDONESIA 2;"Prof. Drs. C.S.T. KANSIL, S.H. ; CHRISTINE S.T. KANSIL, S.H., M.H.";PT. Rineka Cipta;Jakarta;2003;979-518-457-1;;rev.,;2.-;ix, 208;3G;;23,5;342;KAN;S;;ADA;;;;;;;;
569;HUKUM TATA NEGARA//PROYEK PERCONTOHAN OTONOMI DAERAH, PELETAKAN TITIK BERAT OTONOMI DAERAH PADA DAERAH TINGKAT II DAN REKOMENDASI KEBIJAKAN SERTA PELAKSANAAN OTONOMI DAERAH;Prof. SOEHINO, S.H.;BPFE-YOGYAKARTA;Yogyakarta;2003;979-503-438-3;;1.,;1.-;xii, 196;3G;;23;342;SOE;B;;ADA;;;;;;;;
570;HUKUM TATA NEGARA SESUDAH PEMILIHAN UMUM 1971;Dr. MOH. TOLCHAH MANSOER, S.H.;PRADNYA PARAMITA;Jakarta;1978;;;;;241;3G;;20,5;342;MAN;S;;ADA;;;;;;;;
571;HUKUM TATA PEMERINTAHAN INDONESIA;Drs. C.S.T. KANSIL, S.H.;GHALIA INDONESIA;Jakarta;1984;;;;1.-;495;3G;;20,5;342;KAN;;;ADA;;;*ATK;;;;;
572;HUKUM TATA RUANG DALAM KONSEP KEBIJAKAN OTONOMI DAERAH;"Ir. H. JUNIARSO RIDWAN, M.Si., M.H. ; ACHMAD SODIK, S.H., M.H.";NUANSA;Bandung;2008;978-602-8023-03-0;;;1,-;266;3A;;23,5;346.044;RID;S;;ADA;;;;;;;;
573;HUKUM TELEKOMUNIKASI, PENYIARAN & TEKNOLOGI INFORMASI (REGULASI & KONVERGENSI);Dr. DANRIVANTO BUDHIJANTO, S.H., LL.M in IT Law;PT. REFIKA ADITAMA;Bandung;2010;978-602-8650-18-2;;;1.-;388;1D;;24;384;BUD;B;;ADA;;n;;;;;;
574;HUKUM TENTANG AKUISISI, TAKE OVER DAN LBO;Dr. MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2004;979-414-840-7;;;2.-;xvi, 378;3E;;20,5;333.1;FUA;B;;ADA;;;;;;;;
575;HUKUM TENTANG MERGER;MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2002;979-414-818-0;;;2.-;xii, 324;3E;;21;658;FUA;S;;ADA;;;;;;;;
576;HUKUM UDARA INDONESIA & INTERNASINAL;E. SUHERMAN, S.H.;ALUMNI;Bandung;1983;;;;;;7F;;;;;;;;;;;;;;;
577;Hukum Waris;Effendi Perangin, S.H.;;;;;;1;5;x, 232;;;;346.05;PER;;;ADA;;;;;;;;
578;Hukum Waris Islam;K.H. AHMAD AZHAR BASYIR, M.A.;UII-PRESS;Bandung;2001;979-8413-41-5;;;16;;1E;;;297.432;BAS;;;ADA;;;;;;;;
579;HUKUM WARIS ISLAM;Prof. Dr. H.R. OTJE SALMAN S., S.H. - MUSTOFA HAFFAS, S.H.;PT. REFIKA ADITAMA;Bandung;2002;979-96055-4-7;;;1.-;180;1E;;24;346.5;SAL;B;;ADA;;n;;;;;;
580;HUKUM WARIS ISLAM (LENGKAP & PRAKTIS);SUHRAWARDI K. LUBIS, S.H. - KOMIS SIMANJUNTAK, S.H.;Sinar Grafika;Jakarta;2008;979-007-047-0;;2.,;2.-;253;1E;;20,5;346.5;LUB;;;ADA;;n;;;;;;
581;HUMANISME DALAM ISLAM;Prof. Dr. MARCEL A. BOISARD;BULAN BINTANG;Jakarta;1980;;;;1.-;484;1E;;20,5;2X2.36;BOI;S;;ADA;;n;;;;;;
582;HUMANISME DAN PEMBARUAN PENEGAKAN HUKUM;Prof. Dr. INDRIYANTO SENO ADJI, S.H., M.H.;PENERBIT BUKU KOMPAS;Jakarta;2009;;;;;;6C;;;340.02;ABJ;;;;;;;;;;;
*;HURUF I;;;;;;;;;;;;;;;;;;;;;;;;;
583;Ikhtisar Ketentuan Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang dan Pendanaan Terorisme;Tim Penyusun PPATK;PPATK;Jakarta;2012;;;;2;;2G;5;;345;KEU;S;;ada;;;;;;;;
584;ILMU ALAMIAH DASAR;Ir. HARI PURNAMA;PT. Rineka Cipta;Jakarta;2003;;;;;;6A;;;500.1;PUR;;;;;;;;;;;
585;ILMU BUDAYA DASAR // MKDU;Drs. JOKO TRI PRASETYA, dkk.;PT. Rineka Cipta;Jakarta;2004;;;;;;7H;;;;;;;ada;;;;;;;;
586;ILMU KEDOKTERAN KEHAKIMAN // DALAM PERSPEKTIF PERADILAN DAN ASPEK HUKUM PRAKTIK KEDOKTERAN;WALUYADI, S.H.;DJAMBATAN;Jakarta;2000;;;;;;7H;;;;;;;ada;;;;;;;;
587;ILMU KESEHATAN MASYARAKAT;dr. INDAN ENTJANG;PT. Citra Aditya Bakti;Bandung;1991;;;;;;10E;;;610.7;ENT;;;ada;;;;;;;;
588;ILMU NEGARA // PENGEMBANGAN TEORI BERNEGARA DAN SUPLEMEN;HENDRA NURTJAHYO;PT. Rajagrafindo Persada;Jakarta;2005;979-769-016-4;;1.,;1.-;x, 204;3G;;21;320.1;NUR;B;;ada;;;;;;;;
589;Ilmu Perundang-undangan // Dasar-dasar Dan Pembentukannya;Maria Farida Indrati Soeprapto, S.H., M.H.;Penerbit Kanisius;Yogyakarta;2006;;;;;;5B;;;342.02;SOE;B;;ada;;;;;;;;
590;ILMU SOSIAL DASAR;Drs. H. ABU AHMADI;PT. Rineka Cipta;Jakarta;2003;;;;;;6A;;;301.2;;;;ada;;;;;;;;
591;IMAN & AMAL;H. DAHLAN AS. NATAPRAWIRA;CV. MULTI YASA & CO;Jakarta;1984;;;;;;7A;;;;;;;ada;;;;;;;;
592;Indeks Kepuasan Masyarakat (IKM) Terhadap Kinerja Bidang Tindak Pidana Umum, Pidana Khusus Dan Datun;Drs. Nandan Iskandar, Dra. Renny Ariyanny, S.H., M.H., LLM. , et. al.;Miswar;Jakarta;2014;;;;;;6B;;;340.1;DAR;s;;ada;;;;;;;;
593;INDONESIAN BUSINESS LAW;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;2002;979-414-715-X;;;2.-;800;1B;;21;346.7;GAU;s;;ada;;n;;;;;;
594;INDONESIAN CIVIL CODE (KITAB UNDANG-UNDANG HUKUM PERDATA);"transalate : RANY MANGUNSONG, S.H. ; SITUMEANG & SITUMEANG LAW FIRM";PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;4C;2;;;;;;ada;;;;;;;;
595;Indonesia Darurat Narkoba;--;Badan Narkotika Nasional;Jakarta;2017;;;;;;7H;;;613.8;NAS;s;;ada;;;;;;;;
596;Indonesia Optimis;Denny Indrayana;PT. Bhuana Ilmu Populer;Jakarta;2011;;;;;;10B;1;;0;IND;s;;ada;;;;;;;;
597;INFORMASI BAGI PESERTA PAMERAN UNTUK MENINGKATKAN PERANANNYA DIBIDANG EKSPOR;DIREKTUR PEMBINAAN SARANA PERDAGANGAN;DEPARTEMEN PERDAGANGAN DAN KOPERASI;Jakarta;1983;;;;;;6C;;;346.7;DEP;;;;;;;;;;;
598;INFORMASI HUKUM DAN STATISTIK KRIMINAL // TOPIK : PASAR MODAL;PUSAT INFORMASI HUKUM DAN STATISTIK KRIMINAL;KEJAGUNG R.I.;Jakarta;1995;;;3.,;;iv, 249;1B;;20,5;346.7;KEJ;s;;ada;;n;;;;;;
;Instruksi Jaksa Agung R.I. Tahun 2020 No: INSJA-01, 02, 03, 04, 05, 06, 07, 08, 09, 10 dan 12;--;Kejaksaan R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;dl;;ada;;;;;;;;
599;Instruksi Presiden No.1 Th. 1988 Tentang Tata Cara Pengadaan Barang Dan Jasa;--;ARMAS DUTA JAYA;Jakarta;1988;;;;;;5E;;;;;;;;;;;;;;;
600;Instruksi Presiden No.1 Th. 1988 Tentang Tata Cara Pengadaan Barang Dan Jasa, Keppres No.6 Th. 1988 Tentang Pencabutan Beberapa Ketentuan Mengenai Pengadaan Barang Dan Jasa // Dilengkapi Keppres No.29 Th. 1984;--;KLOANG KLEDE JAYA;Jakarta;1988;;;;;;5E;;;;;;;;;;;;;;;
602;INSTRUKSI PRESIDEN NO. 3 TAHUN 2006 TENTANG PAKET KEBIJAKAN PERBAIKAN IKLIM INVESTASI BESERTA 8 (DELAPAN) PERATURAN MENTERI PERDAGANGAN TAHUN 2006 TENTANG PENYEMPURNAAN DAN PENYEDERHANAAN PERIZINAN;--;CV. EKO JAYA;Jakarta;2006;;;;;;5C;2;;;;;;;;;;;;;;
603;INSTRUKSI PRESIDEN R.I. NO. 4 TAHUN 1985 // REKAMAN SITUASI DI SEKITAR INPRES NO. 4 TAHUN 1985 KUMPULAN PERATURAN-PERATURAN PELAKSANAANNYA DAN LAIN-LAIN;disusun oleh : R.B. SOEWONDO;CV. AKADEMIKA PRESSINDO;Jakarta;1985;;;;;;5E;;;;;;;;;;;;;;;
604;Instruksi Presiden R.I. No. 1 Tahun 2014 tentang Penanganan Gangguan Keamanan Dalam Negeri Tahun 2014;--;Sekretariat Kabinet R.I.;Jakarta;2014;;;;;;;;;348.02;;;;;;;2662;;;;;
605;Instruksi Presiden No. 6 Tahun 2014 tentang Peningkatan Daya Saing Nasional Dalam Rangka Menghadapi Masyarakat Ekonomi Association of Southeast Asian Nations;--;Sekretariat Kabinet R.I.;Jakarta;2014;;;;;;5I;;;348.02;;;;;;;2663;;;;;
606;Instruksi Presiden No.5 Tahun 2016 Tentang Pemberian Pengurangan Dan / Atau Keringanan Atau Pembebasan Pajak Bea Perolehan Hak Atas Tanah Dan Bangunan Rumah Umum Bagi Masyarakat Berpenghasilan Rendah;--;Kemenkum & HAM;Jakarta;2016;;;;;;5I;;;348.02;HAM;DL;;Ada;;;;;;;;
607;Instruksi Presiden RI No.8 Tahun 2016 Tentang Langkah-langkah Penghematan Belanja Kementerian / Lembaga Dalam Rangka Pelaksanaan Anggaran Pendapatan Dan Belanja Negara Perubahan TA 2016;--;Kemenkum & HAM;Jakarta;2016;;;;;;5I;;;348.02;HAM;DL;;Ada;;;;;;;;
608;Instruksi Presiden RI No.11 Tahun 2016 Tentang Langkah Pengendalian Transfer Ke Daerah Dan Dana Desa Dalam Rangka Pengamanan Pelaksanaan Anggaran Pendapatan Dan Belanja Negara Perubahan TA 2016;--;Kemenkum & HAM;Jakarta;2016;;;;;;5I;;;348.02;HAM;DL;;Ada;;;;;;;;
609;Instruksi Presiden No.2 Tahun 2017 Tentang Laporan Hasil Analisis Dan Laporan Hasil Pemeriksaan PPATK;--;Kemenkum & HAM;Jakarta;2017;;;;;;5I;;;348.02;HAM;DL;;Ada;;;;;;;;
610;Instruksi Presiden RI No.5 Tahun 2017 Tentang Percepatan Rehabilitasi Dan Rekonstruksi Pascabencana Gempa Bumi Di Kabupaten Pidie, Kabupaten Pidie Jaya, Kabupaten Bireuen Provinsi Aceh;--;Kemensetneg R.I.;Jakarta;2017;;;;;;5I;;;348.02;HAM;DL;;Ada;;;;;;;;
611;Inpres No.6 Tahun 2017 Tentang Penundaan Dan Penyempurnaan Tata Kelola Pemberian Izin Baru Alam Primer Dan Lahan Gambut;--;Kemensetneg R.I.;Jakarta;2017;;;;;;5I;;;348.02;HAM;DL;;Ada;;;;;;;;
601;IN SEARCH OF HUMAN RIGHTS // LEGAL~POLITICAL DILEMMAS OF INDONESIA'S NEW ORDER, 1966-1990;TODUNG MULYA LUBIS;PT. Gramedia Pustaka Utama;Jakarta;1993;;;;;;7C;;;;;;;;;;;;;;;
612;INSTRUMEN INTERNASIONAL POKOK HAK ASASI MANUSIA;--;YAYASAN OBOR INDONESIA;Jakarta;2006;;;;;;4E;;;;;;;;;;;;;;;
613;INTEGRASI NASIONAL, SUATU PENDEKATAN BUDAYA DI KALIMANTAN TENGAH;IKEL S. RUSAN, ULI H. SITORUS, et.  al.;KANWIL DEPDIKBUD KALTENG;Palangka Raya;1996;;;;;;5D;2;;;;;;;;;;;;;;
;Intelijen Dalam Pusaran Demokrasi Di Indonesia Pasca Orde Baru;"Ikrar Nusa Bhakti ; dkk.";Penerbit Andi;Yogyakarta;2017;978-979-29-6328-1;;I.,;;;1B;1;23;327,12;NUS;S;;ada;;;;;;;;
614;INTISARI AQIDAH AHLUSSUNNAH;IMAM IBNU QUDAMAH AL-MAQDISI;KEDUBES SAUDI ARABIA;Jakarta;;;;;;;7A;;;;;;;;;;;;;;;
615;INTISARI HUKUM TATANEGARA PERBANDINGAN//KONSTITUSI SEMBILAN NEGARA;ABU DAUD BUSROH, S.H.;PT. BINA AKSARA;Jakarta;1987;;;;1.-;vii, 339;3G;;20,5;342;BUS;S;;ADA;;;;;;;;
616;INVENTARISASI DAN ANALISIS UNDANG-UNDANG LINGKUNGAN HIDUP (KHUSUSNYA KESEHATAN LINGKUNGAN HIDUP);EDITOR : Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;GHALIA INDONESIA;Jakarta;1987;;;;1.-;176;1G;;20,5;344.046;SOE;;;ADA;;n;;;;;;
617;ISLAM AGAMA UNTUK HIDUP;Drs. H. EFFENDI ZARKASI;PT. HIDAKARYA AGUNG;Jakarta;1984;;;;;;7A;;;;;;;;;;;;;;;
618;ISLAM DI INDONESIA // SUATU IKHTIAR MENGACA DIRI;M. AMIEN RAIS, ed.;CV. RAJAWALI;Jakarta;1986;;;;;;7A;;;;;;;;;;;;;;;
619;ISLAM DI TENGAH PERTARUNGAN TRADISI;MUHAMMAD QUTHB;PENERBIT MIZAN;Bandung;1986;;;;;;7A;;;;;;;;;;;;;;;
620;ISTILAH HUKUM;M. HUTAURUK, S.H.;ERLANGGA;Jakarta;1987;;;;;;6E;;;;;;;;;;;;;;;
621;IZIN PEMERIKSAAN TERHADAP SAKSI/TERSANGKA PEJABAT NEGARA DALAM PENANGANAN PERKARA TINDAK PIDANA KORUPSI;NINIEK SUPARNI, S.H., M.H., ALBOIN PANGARIBUAN, S.H., M.H., SOERYANIATI KOESOEMO, S.H., dkk.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2011;;;;;;6A;;;345.07;;;;;;;;;;;;
*;HURUF J;;;;;;;;;;;;;;;;;;;;;;;;;
622;JAHE GAJAH;Ir. HIERONYMUS BUDI SANTOSO;PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10E;;;;;;;;;;;;;;;
623;JAKSA SAHABAT MASYARAKAT, SUATU HARAPAN // KUMPULAN MAKALAH JAKSA AGUNG R.I. TAHUN 2013;BASRIEF ARIEF;GAUNG PERSADA PRESS;Jakarta;2013;;2;;1.-;;5B;2;;;;;;;;;;;;;;
624;Jalan Lurus Penanganan Penyalah Guna Narkotika Dalam Konstruksi Hukum Positif;Dr. Anang Iskandar, S.IK, S.H., M.H.;Tanpas Communications;Karawang;2015;;;;;;7H;;;598.00;ISK;;;;;;koleksi terbaru;;;;;
625;JAMUR MERANG // SERI INDUSTRI PERTANIAN;SOEDJONO;PT. REMAJA ROSDAKARYA;Bandung;1992;;;;;;10A;;;;;;;;;;;;;;;
626;JURIMETRIE // SUATU CARA BERFIKIR DAN BERBUAT DALAM HUKUM;Prof. Mr. ROESLAN SALEH;AKSARA BARU;Jakarta;1979;;;;;;7A;;;;;;;;;;;;;;;
627;JURNAL BINA ADHYAKSA // VOL. 3;;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;340.02;;;;;;;;;;;;
628;JURNAL BINA ADHYAKSA // VOL. V;;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;340.02;;;;;;;;;;;;
